STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
150,Laptop MSI Modern 15 B7M R5 7530U/16GB/512GB/Win11 (231VN),13490000,16,256,1.75,12,26,20,15.6,1
151,Laptop Lenovo Ideapad 3 14ABA7 R5 5625U/8GB/256GB/Win11 (82RM003WVN),12490000,8,512,1.43,10,22,20,14,1
152,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/8GB/512GB/Win11 (NJ630W),12490000,8,512,1.63,14,9,20,15.6,1
153,Laptop Acer Aspire 3 A315 59 38PG i3 1215U/8GB/512GB/Win11 (NX.K6TSV.00A),10690000,8,512,1.7,15,15,18,15.6,1
154,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),16990000,16,512,1.7,14,38,15,15.6,1
155,Laptop Dell Vostro 3420 i5 1235U/8GB/512GB/OfficeHS/Win11 (71003348),16490000,8,256,1.49,5,19,18,14,1
156,Laptop Acer Aspire 3 A315 58 35AG i3 1115G4/4GB/256GB/Win11 (NX.ADDSV.00B),7390000,4,512,1.7,15,7,18,15.6,1
157,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (70296960),18990000,8,512,1.9,5,19,13,15.6,1
158,Laptop Asus Vivobook 14X OLED A1405ZA i5 12500H/8GB/512GB/Win11 (KM146W),15990000,8,512,1.6,14,38,18,14,1
159,Laptop MSI Modern 14 C7M R5 7530U/8GB/512GB/Win11 (083VN),11490000,8,512,1.4,12,26,20,14,1
160,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),10990000,8,512,1.7,15,17,18,15.6,1
161,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/Win11 (L1201W),22990000,16,512,1.7,14,55,15,15.6,1
162,Laptop Asus Vivobook S 14 Flip TP3402VA i5 13500H/16GB/512GB/Touch/Win11 (LZ031W),19490000,16,512,1.5,14,39,15,14,1
163,Laptop MSI Modern 15 B12MO i7 1255U/16GB/512GB/Win11 (487VN),16990000,16,512,1.7,12,20,15,15.6,1
164,Laptop Asus Vivobook 14 X1402ZA i5 1240P/8GB/512GB/Win11 (EK083W),14290000,8,512,1.5,14,28,18,14,1
165,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),13990000,8,512,1.7,15,19,18,15.6,1
166,Laptop Dell Inspiron 14 7430 2-in-1 i7 1355U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (i7U165W11SLU),27990000,16,512,1.62,5,23,15,14,1
167,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W),24990000,16,512,1.4,14,39,9,14,1
168,Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),26990000,16,512,1.34,8,16,15,13.3,1
169,Laptop Lenovo Ideapad 5 15IAL7 i5 1235U/8GB/512GB/Win11 (82SF005HVN),16890000,8,512,1.85,10,19,15,15.6,1
170,Laptop Acer Aspire 3 A314 36M 391A i3 N305/8GB/512GB/Win11 (NX.KDMSV.002),8190000,8,512,1.4,15,347,18,14,1
171,Laptop Acer Swift 3 SF314 512 56QN i5 1240P/16GB/512GB/Win11 (NX.K0FSV.002),18490000,16,512,1.2,15,28,15,14,1
172,Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),23790000,16,512,1.28,8,20,18,13.3,1
